feature_1,feature_2,feature_3,Category
105.6577148,111.8935547,130.4370117,coast
99.45361328,122.619873,161.1206055,coast
103.7595215,108.7138672,123.1240234,coast
206.9775391,207.0588379,213.7258301,coast
96.39550781,169.2617188,165.5039063,coast
131.7626953,161.060791,134.1191406,coast
142.8249512,157.3178711,169.6611328,coast
97.38037109,124.8039551,153.0751953,coast
74.73388672,110.6455078,126.2565918,coast
80.20605469,104.9438477,126.8093262,coast
105.8664551,148.0895996,159.1052246,coast
93.55883789,132.0402832,156.2988281,coast
101.4841309,139.5925293,169.4992676,coast
116.7592773,144.1950684,153.6416016,coast
82.35546875,124.6696777,120.253418,coast
104.418457,94.43286133,94.12670898,coast
100.189209,122.7097168,107.9748535,coast
64.0703125,110.3825684,132.251709,coast
87.25292969,138.5822754,168.7668457,coast
111.9770508,145.5673828,144.3110352,coast
86.62670898,158.4294434,154.418457,coast
93.94433594,99.85229492,108.796875,coast
138.4995117,162.3391113,176.6943359,coast
54.23657227,86.11669922,146.5788574,coast
60.54736328,76.24487305,132.6828613,coast
99.0559082,152.0083008,173.2944336,coast
83.53417969,81.28833008,75.24414063,coast
107.8056641,101.0246582,126.15625,coast
64.21313477,92.53369141,122.1486816,coast
78.26611328,93.54614258,111.5041504,coast
54.42333984,78.5390625,105.807373,coast
35.40136719,79.38354492,127.9753418,coast
77.89501953,86.65307617,106.0163574,coast
118.1889648,113.2312012,144.7351074,coast
90.62255859,110.4106445,143.7463379,coast
108.6625977,118.486084,132.5400391,coast
70.25439453,91.26831055,126.4755859,coast
63.86791992,90.90698242,123.473877,coast
107.5820313,126.192627,136.2055664,coast
113.7075195,136.7927246,142.0366211,coast
121.8171387,126.6416016,180.1154785,coast
55.29614258,70.17236328,77.29663086,coast
155.0756836,138.9780273,134.9714355,coast
128.001709,138.671875,152.6181641,coast
169.9118652,162.6850586,159.0844727,coast
111.734375,99.32543945,103.6018066,coast
136.6228027,180.388916,213.6337891,coast
124.6948242,142.1936035,146.2026367,coast
122.4375,158.5900879,190.0817871,coast
136.173584,126.2138672,117.3657227,coast
107.5053711,111.0842285,117.2165527,coast
151.4145508,166.7138672,182.6096191,coast
188.8493652,190.1999512,196.9660645,coast
91.93994141,137.9123535,188.5861816,coast
153.3293457,161.8867188,165.8010254,coast
118.0681152,169.7434082,180.7246094,coast
128.1945801,156.1638184,184.3188477,coast
144.5288086,159.5439453,177.4147949,coast
101.6088867,90.03540039,64.85595703,coast
111.222168,121.0446777,131.0566406,coast
109.0273438,133.6010742,133.4453125,coast
138.9824219,161.8916016,188.3945313,coast
140.6210938,160.213623,164.3999023,coast
133.0944824,140.2658691,133.3459473,coast
106.2939453,105.2348633,119.0598145,coast
114.5258789,114.7568359,117.769043,coast
99.59204102,85.53344727,76.53198242,coast
83.04882813,100.4287109,113.6586914,coast
163.767334,175.3950195,186.0871582,coast
134.4892578,148.371582,144.3557129,coast
63.78100586,119.3549805,139.1611328,coast
122.213623,95.78710938,72.53271484,coast
66.78369141,92.93969727,91.67724609,coast
43.88085938,91.05273438,122.8039551,coast
87.48510742,108.2382813,123.1865234,coast
