feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,Category
105.6577148,111.8935547,130.4370117,108.9609467,123.0182249,153.5687574,78.41390065,99.05814213,135.1000223,102.087657,111.8483772,134.5538972,100.3781095,119.1376451,155.7431888,127.5081885,132.2569917,152.840514,80.28815629,84.86935287,90.93528694,108.1350172,115.2257176,125.152698,26.98507463,30.54758992,33.86738439,130.0590965,135.2283272,143.7968254,39.77309394,41.64663024,43.04553734,143.7040293,151.1482295,183.0593407,127.761194,140.9469575,176.6980482,141.4876679,146.0630037,172.5616606,144.2779545,153.4661121,188.5510154,153.5467083,155.7325007,183.0236794,80.68127992,78.76039305,82.37540942,134.6310059,137.5394083,147.2946746,33.30340479,35.22824716,36.70517024,135.4088272,119.1223203,120.8171501,11.59258264,15.39801129,16.36549315,coast
99.45361328,122.619873,161.1206055,112.4061538,143.52,199.9763314,85.08621074,121.8124304,185.2278904,123.3413883,145.7209192,190.479981,88.69556977,125.3124852,188.5392087,127.4275636,150.1637692,192.4313429,91.04175824,103.4871795,120.407326,109.8176808,120.3729047,133.7644087,78.74333252,85.50819672,98.41154881,84.43467643,105.5648352,129.7973138,78.61774655,87.673172,102.2243039,110.2808303,141.0080586,195.5330891,92.23053961,130.0867968,195.4535017,128.9377289,151.8808303,195.7665446,89.16466846,127.2170296,190.2852948,123.765808,144.5037731,184.9638303,77.10456034,93.52481733,115.5323759,81.8556213,105.6681657,134.3886391,76.99369483,86.03278689,100.8181589,78.1518285,101.576797,130.9336696,70.71217415,79.14001612,93.38994894,coast
103.7595215,108.7138672,123.1240234,145.0821302,132.3910059,148.7706509,142.6063711,129.3579862,160.5239474,159.4693201,138.9888652,128.7467425,132.4198057,125.1570718,166.0762852,112.3104056,105.4452003,109.186193,85.55213675,87.55750916,78.94407814,129.484271,106.8307692,78.60390356,62.29703939,77.26743333,74.19427453,87.00561661,84.44639805,82.19194139,50.84777518,69.95784543,70.14519906,120.1992674,130.0278388,165.62442,129.2160735,138.0445465,187.9513203,110.3667888,113.9145299,122.6432234,110.465378,128.2074872,185.2429655,119.6565183,130.2149362,157.797554,53.3494583,72.48576468,84.85059209,71.29372781,81.7912426,97.81775148,46.36569987,67.52686003,71.7074401,53.71803279,75.88802018,98.85296343,40.02364956,63.5786079,69.21150228,coast
206.9775391,207.0588379,213.7258301,227.947929,226.6300592,239.7159763,218.072622,217.5593673,229.4782802,206.1577825,205.3693438,219.6825397,223.5944089,222.1956882,230.758588,208.7417486,206.3834719,221.319224,172.4815629,173.8568987,174.9196581,176.6025258,177.1315729,183.1862227,156.6762907,158.6806949,155.6114509,181.3763126,182.2554335,185.9477411,151.6357013,153.63414,150.5740307,230.0161172,229.0969475,241.4192918,231.880597,230.4698048,238.9492537,218.1821734,215.9316239,229.5482295,226.6425251,226.9009053,238.414485,215.2526672,215.3151184,229.9287015,173.627614,174.6787604,174.4328546,190.0080473,189.220355,193.7647337,158.8620429,161.1863808,156.0857503,186.1447667,187.0527112,190.8660782,157.4243483,159.359312,154.5219027,coast
96.39550781,169.2617188,165.5039063,62.24662722,127.7065089,143.8049704,54.74359546,117.5174872,146.9476498,35.1196399,74.18526416,63.42762379,72.94574745,160.9438522,200.1800521,74.93272865,132.9261779,135.9173595,88.97094017,157.5257631,126.7770452,24.35453502,110.4091848,112.9735936,137.1803279,178.513335,110.8490335,38.01709402,134.1225885,139.4715507,151.8147281,190.5636222,126.380432,108.1494505,192.9045177,216.4757021,81.90677382,187.5398393,228.0964409,121.0568987,185.5882784,197.7045177,77.26743333,173.3379007,200.8514803,150.7863648,215.1360916,226.7478532,107.9526329,176.6339128,156.0453515,50.52591716,153.607574,162.4956213,167.1303909,201.6,141.3730139,54.88827238,157.4860025,170.8025221,166.6433754,196.5794141,148.6310132,coast
131.7626953,161.060791,134.1191406,119.6146746,162.8478107,168.4213018,82.60191579,127.8574293,139.3201158,165.7275527,202.7993367,198.2582326,67.33191187,102.6410803,115.8929164,137.1388259,181.5953641,182.7523306,157.9321123,190.0131868,146.9147741,112.7972445,166.047302,150.2456946,180.4511867,192.9630536,128.6302912,108.5616606,164.1221001,145.3089133,215.3442623,215.6440281,144.4871194,59.02222222,85.64981685,72.65445665,50.05005741,67.92376579,49.42548794,82.51623932,130.2505495,130.7194139,28.76633227,36.38071935,17.3936873,63.02992454,90.86651054,77.02315899,174.5729403,189.4774502,136.627866,112.223432,165.8357396,143.5569231,238.4262295,228.7293821,149.3790668,124.4691047,150.948802,123.5288777,230.7164741,215.5506584,129.1308788,coast
142.8249512,157.3178711,169.6611328,185.5327811,203.6960947,228.1192899,189.1414569,203.9224772,224.6130541,166.3833215,184.4605544,210.3804786,181.5114902,197.9095001,217.965411,169.1710758,187.1302595,210.7009322,116.8664225,134.5601954,147.8954823,100.1295063,123.5839265,147.3322618,122.2999755,135.1524345,139.90115,98.18803419,123.8583639,146.7741148,135.0028623,140.681759,139.7699714,126.0942613,148.6271062,169.2014652,159.9338691,182.3853042,211.3653272,163.7196581,183.9120879,212.4229548,79.96868118,106.0689993,133.5943235,84.9960968,103.4983086,97.81108509,125.6074578,125.0239355,117.5338876,108.6788166,129.2686391,150.6385799,121.9308953,119.4693569,109.8491803,78.61992434,81.10567465,64.50037831,198.8153722,172.9212577,144.6449879,coast
97.38037109,124.8039551,153.0751953,48.81420118,99.74343195,161.6728994,69.85609267,130.7302294,196.1773223,14.96517413,45.49064203,96.23880597,85.94361526,148.1089789,206.8211324,12.58150668,49.72940287,108.1340388,158.3599512,158.390232,149.246398,103.0135476,110.221814,116.1735936,225.1353071,212.0322975,184.8945437,83.7001221,102.802442,113.207326,211.0725995,196.1259433,169.3010669,72.85860806,122.7438339,179.6844933,110.4055109,167.0649828,221.5421355,17.72698413,59.71379731,119.435409,130.3724003,179.860044,225.7890874,25.76736924,70.93208431,131.8469945,94.69286974,101.319224,101.8251449,55.13467456,83.15455621,97.70414201,164.2168979,141.2842371,121.9430013,34.16696091,73.9591425,95.19293821,130.0209621,108.5127654,92.13437248,coast
74.73388672,110.6455078,126.2565918,72.53491124,116.9912426,140.6589349,70.88616618,119.0180441,149.927378,62.02511253,96.3525231,112.3146174,69.37502961,117.7616679,146.3615257,70.81683044,107.4003527,122.4570421,97.57264957,132.1230769,140.9074481,85.08840413,119.8989667,127.2799082,112.133105,147.0927331,156.774162,105.810989,142.1479853,152.9904762,75.18293,102.8446526,108.8607858,68.24322344,110.7399267,133.4691087,69.07003444,119.0943743,148.6622273,62.97240537,98.41855922,114.5474969,66.86175679,114.6033766,144.9043308,67.45979703,99.90111892,112.7702316,57.13177123,76.59763165,82.41975309,109.3112426,146.9386982,158.4511243,40.99066835,55.5258512,59.50870113,59.0406053,77.63530895,84.69709962,13.05025531,18.07686106,18.07686106,coast
80.20605469,104.9438477,126.8093262,101.4144379,131.7093491,168.7876923,94.98774783,124.0721764,157.5192693,111.0144516,140.1866856,178.031746,83.45700071,112.4965648,146.9301113,93.50869237,121.1751071,156.1662887,57.38217338,83.70598291,97.92820513,48.02571757,78.88679679,97.10952928,58.22559334,85.26156105,99.00660631,50.32869353,75.49108669,88.33406593,64.84517304,83.48477752,93.67681499,87.42564103,112.9728938,142.9225885,83.51228473,111.6546498,145.7745121,89.88131868,115.410989,146.5240537,82.09836066,110.1561047,142.8333741,87.42336716,106.217018,127.3671611,63.81355505,77.71529352,81.79289494,67.26059172,84.77159763,93.74674556,99.8738966,115.8456494,126.1518285,35.79319042,48.56897856,44.31576293,51.33243752,60.13007256,60.88685837,coast
